Station_ID,Latitude,Longitude,Elevation,State,Station_Name,Flag_Global,Flag,WMO,category
USC00080025,29.8833,-83.6333,-999.9,FL,ADAMS BEACH                   ,   ,   ,     ,COOP
USC00080070,29.05,-81.55,21.0,FL,ALEXANDER SPRINGS 3 SE        ,   ,   ,     ,COOP
USC00080211,29.7258,-85.0206,6.1,FL,APALACHICOLA AP               ,   ,HCN,72220,WMO
USC00080228,27.2178,-81.8742,7.6,FL,ARCADIA                       ,   ,HCN,     ,COOP
USC00080236,27.1819,-81.3511,41.5,FL,ARCHBOLD BIO STN              ,   ,   ,     ,COOP
USC00080369,27.5947,-81.5267,46.9,FL,AVON PARK 2 W                 ,   ,   ,     ,COOP
USC00080374,27.6,-81.5,46.0,FL,AVON PARK 1 NW                ,   ,   ,     ,COOP
USC00080390,27.85,-81.5167,38.1,FL,BABSON PARK 1 ENE             ,   ,   ,     ,COOP
USC00080414,24.6597,-81.2747,2.4,FL,BAHIA HONDA SP                ,   ,   ,     ,COOP
USC00080478,27.8864,-81.8325,34.1,FL,BARTOW 1SE                    ,   ,HCN,     ,COOP
USC00080488,27.3833,-81.0333,11.9,FL,BASINGER                      ,   ,   ,     ,COOP
USC00080520,28.0667,-82.5,14.9,FL,BAY LAKE                      ,   ,   ,     ,COOP
USC00080531,30.1667,-85.7167,2.7,FL,BAY POINT                     ,   ,   ,     ,COOP
USC00080535,28.55,-82.6333,14.9,FL,BAYPORT                       ,   ,   ,     ,COOP
USC00080540,28.55,-82.6167,-999.9,FL,BAYPORT                       ,   ,   ,     ,COOP
USC00080598,29.7956,-82.9178,9.8,FL,BELL 4NW                      ,   ,   ,     ,COOP
USC00080611,26.6928,-80.6711,6.1,FL,BELLE GLADE                   ,   ,HCN,     ,COOP
USC00080616,26.7,-80.7167,9.4,FL,BELLE GLADE HRCN GT 4         ,   ,   ,     ,COOP
USC00080735,26.365,-81.5478,7.9,FL,BIG CORKSCREW                 ,   ,   ,     ,COOP
USC00080737,26.3283,-80.9958,4.6,FL,BIG CYPRESS                   ,   ,   ,     ,COOP
USC00080739,26.3167,-81.0,4.9,FL,BIG CYPRESS INDIAN RSV        ,   ,   ,     ,COOP
USC00080747,24.7167,-81.3833,3.0,FL,BIG PINE KEY                  ,   ,   ,     ,COOP
USC00080758,28.55,-81.1167,19.8,FL,BITHLO                        ,   ,   ,     ,COOP
USC00080765,30.9833,-86.65,67.1,FL,BLACKMAN                      ,   ,   ,     ,COOP
USC00080804,30.45,-85.05,18.3,FL,BLOUNTSTOWN 2 SE              ,   ,   ,     ,COOP
USC00080845,26.3675,-80.1108,4.3,FL,BOCA RATON                    ,   ,   ,     ,COOP
USC00080875,30.7833,-85.6833,36.6,FL,BONIFAY                       ,   ,   ,     ,COOP
USC00080887,26.3333,-81.75,3.0,FL,BONITA SPGS 2 MI ESE          ,   ,   ,     ,COOP
USC00080940,27.4833,-82.55,3.0,FL,BRADENTON EXP STN             ,   ,   ,     ,COOP
USC00080945,27.4364,-82.4903,5.2,FL,BRADENTON 5 ESE               ,   ,   ,     ,COOP
USC00080975,29.9625,-82.9108,9.1,FL,BRANFORD                      ,   ,   ,     ,COOP
USC00080992,27.0436,-81.07,4.3,FL,BRIGHTON RSVN                 ,   ,   ,     ,COOP
USC00081020,30.4181,-84.9861,48.8,FL,BRISTOL                       ,   ,   ,     ,COOP
USC00081022,30.3794,-84.9789,43.9,FL,BRISTOL 2S                    ,   ,   ,     ,COOP
USC00081046,28.6164,-82.3658,73.2,FL,BROOKSVILLE CHIN HILL         ,   ,   ,     ,COOP
USC00081051,28.6333,-82.3167,61.0,FL,BROOKSVILLE NURSY 1           ,   ,   ,     ,COOP
USC00081056,28.6333,-82.3333,61.0,FL,BROOKSVILLE 2                 ,   ,   ,     ,COOP
USC00081163,28.6664,-82.0894,24.4,FL,BUSHNELL 1 E                  ,   ,   ,     ,COOP
USC00081218,29.9833,-81.9833,57.9,FL,CAMP BLANDING                 ,   ,   ,     ,COOP
USC00081271,26.8667,-80.6333,11.9,FL,CANAL POINT GATE 5            ,   ,   ,     ,COOP
USC00081276,26.8639,-80.6256,9.1,FL,CANAL PT USDA                 ,   ,   ,     ,COOP
USC00081299,30.6,-87.3167,46.0,FL,CANTONMENT                    ,   ,   ,     ,COOP
USC00081305,25.15,-80.9333,-999.9,FL,FLAMINGO RS                   ,   ,   ,     ,COOP
USC00081306,25.6719,-80.1567,1.8,FL,CAPE FLORIDA                  ,   ,   ,     ,COOP
USC00081310,26.5333,-82.1833,-999.9,FL,CAPTIVA                       ,   ,   ,     ,COOP
USC00081356,29.8667,-84.6667,3.0,FL,CARRABELLE 1 NNW              ,   ,   ,     ,COOP
USC00081388,30.7667,-85.8167,15.2,FL,CARYVILLE                     ,   ,   ,     ,COOP
USC00081432,29.1333,-83.05,3.0,FL,CEDAR KEY 1 WSW               ,   ,   ,     ,COOP
USC00081502,30.7,-84.8667,27.1,FL,CHATTAHOOCHEE 1 W             ,   ,   ,     ,COOP
USC00081544,30.7806,-85.5503,39.6,FL,CHIPLEY                       ,   ,   ,     ,COOP
USC00081556,25.8144,-81.3617,1.8,FL,CHOKOLOSKEE                   ,   ,   ,     ,COOP
USC00081565,28.55,-81.1,21.0,FL,BITHLO                        ,   ,   ,     ,COOP
USC00081601,30.4647,-85.1992,38.1,FL,CLARKSVILLE 2 N               ,   ,   ,     ,COOP
USC00081632,27.9667,-82.7667,21.0,FL,CLEARWATER                    ,   ,   ,     ,COOP
USC00081635,27.9833,-82.8333,3.0,FL,CLEARWATER BEACH              ,   ,   ,     ,COOP
USC00081641,28.4558,-81.7233,39.6,FL,CLERMONT 9 S                  ,   ,   ,     ,COOP
USC00081649,26.7333,-80.95,6.1,FL,CLEWISTON AP                  ,   ,   ,     ,COOP
USC00081651,26.7361,-81.0492,5.5,FL,CLEWISTON #2                  ,   ,   ,     ,COOP
USC00081654,26.7422,-80.94,6.1,FL,CLEWISTON                     ,   ,   ,     ,COOP
USC00081716,25.65,-80.2833,3.0,FL,MIAMI 12 SSW                  ,   ,   ,     ,COOP
USC00081775,30.6,-85.4,64.0,FL,COMPASS LAKE                  ,   ,   ,     ,COOP
USC00081795,24.7833,-80.8833,1.8,FL,CONCH KEY                     ,   ,   ,     ,COOP
USC00081800,26.0472,-80.2839,3.4,FL,COOPER CITY                   ,   ,   ,     ,COOP
USC00081832,25.1833,-80.9,-999.9,FL,COOT BAY RS                   ,   ,   ,     ,COOP
USC00081858,26.2678,-80.275,3.0,FL,CORAL SPRINGS                 ,   ,   ,     ,COOP
USC00081869,27.4,-81.1667,11.9,FL,CORNWELL 4 NW                 ,   ,   ,     ,COOP
USC00081978,29.425,-81.5161,16.2,FL,CRESCENT CITY                 ,   ,   ,     ,COOP
USC00081984,30.7667,-86.5833,73.2,FL,CRESTVIEW RADIO WJSB          ,   ,   ,     ,COOP
USC00082008,29.6333,-83.1053,12.8,FL,CROSS CITY 1 E                ,   ,   ,     ,COOP
USC00082046,24.7425,-80.9819,1.2,FL,CURRY HAMMOCK SP              ,   ,   ,     ,COOP
USC00082114,26.0667,-80.2,3.0,FL,DANIA 4 WNW                   ,   ,   ,     ,COOP
USC00082150,29.1967,-81.0083,8.8,FL,DAYTONA BEACH                 ,   ,   ,     ,COOP
USC00082200,28.1,-80.9,14.9,FL,DEER PARK                     ,   ,   ,     ,COOP
USC00082220,30.7244,-86.0939,74.7,FL,DE FUNIAK SPRINGS 1 E         ,   ,HCN,     ,COOP
USC00082229,29.0097,-81.2986,7.6,FL,DELAND 1 SSE                  ,   ,   ,     ,COOP
USC00082288,27.3697,-81.5136,26.5,FL,DESOTO CITY 8 SW              ,   ,   ,     ,COOP
USC00082298,26.6639,-81.09,7.9,FL,DEVILS GARDEN                 ,   ,   ,     ,COOP
USC00082391,30.2497,-83.2594,16.5,FL,DOWLING PARK 1 W              ,   ,   ,     ,COOP
USC00082418,24.6278,-82.8736,0.9,FL,DRY TORTUGAS                  ,   ,   ,     ,COOP
USC00082441,24.7706,-80.9072,1.2,FL,DUCK KEY                      ,   ,   ,     ,COOP
USC00082827,28.85,-81.6833,21.0,FL,EUSTIS 2 S                    ,   ,   ,     ,COOP
USC00082834,28.35,-81.8333,36.9,FL,EVA                           ,   ,   ,     ,COOP
USC00082850,25.8489,-81.3897,1.5,FL,EVERGLADES                    ,   ,HCN,     ,COOP
USC00082915,29.755,-81.5389,1.5,FL,FEDERAL PT                    ,   ,HCN,     ,COOP
USC00082923,26.5333,-81.4333,11.9,FL,FELDA                         ,   ,   ,     ,COOP
USC00082936,27.6833,-80.65,6.1,FL,FELLSMERE 7 SSW               ,   ,   ,     ,COOP
USC00082944,30.6669,-81.4525,14.9,FL,FERNANDINA BEACH              ,   ,HCN,     ,COOP
USC00083020,25.1422,-80.9144,0.9,FL,FLAMINGO RS                   ,   ,   ,     ,COOP
